time_iso8601,forks_cumulative
2023-07-12 00:00:00+00:00,3
2023-07-13 00:00:00+00:00,4
2023-07-15 00:00:00+00:00,5
2023-07-18 00:00:00+00:00,6
2023-07-20 00:00:00+00:00,7
2023-07-21 00:00:00+00:00,8
2023-08-13 00:00:00+00:00,9
2023-08-16 00:00:00+00:00,10
2023-09-11 00:00:00+00:00,11
2023-09-13 00:00:00+00:00,14
2023-09-20 00:00:00+00:00,15
2023-10-27 00:00:00+00:00,16
2023-11-06 00:00:00+00:00,17
2023-11-12 00:00:00+00:00,18
2023-11-13 00:00:00+00:00,19
2023-11-15 00:00:00+00:00,20
2023-11-19 00:00:00+00:00,21
2023-11-26 00:00:00+00:00,22
2023-12-16 00:00:00+00:00,23
2023-12-18 00:00:00+00:00,24
2023-12-19 00:00:00+00:00,25
2023-12-26 00:00:00+00:00,26
2024-01-11 00:00:00+00:00,27
2024-01-23 00:00:00+00:00,28
