time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-15 00:00:00+00:00,24,15,276,56
2024-04-16 00:00:00+00:00,76,23,296,62
2024-04-17 00:00:00+00:00,16,10,319,58
2024-04-18 00:00:00+00:00,52,19,200,55
2024-04-19 00:00:00+00:00,25,10,267,52
2024-04-20 00:00:00+00:00,9,7,80,32
2024-04-21 00:00:00+00:00,49,16,113,48
2024-04-22 00:00:00+00:00,14,9,358,58
2024-04-23 00:00:00+00:00,19,11,251,43
2024-04-24 00:00:00+00:00,98,25,444,56
2024-04-25 00:00:00+00:00,15,10,250,62
2024-04-26 00:00:00+00:00,35,16,207,40
2024-04-27 00:00:00+00:00,11,8,112,42
2024-04-28 00:00:00+00:00,122,37,211,46
