time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-28 00:00:00+00:00,0,0,85,4
2023-11-29 00:00:00+00:00,8,6,526,44
2023-11-30 00:00:00+00:00,2,2,206,34
2023-12-01 00:00:00+00:00,36,12,123,26
2023-12-02 00:00:00+00:00,215,14,177,19
2023-12-03 00:00:00+00:00,2,2,209,22
2023-12-04 00:00:00+00:00,18,9,187,25
2023-12-05 00:00:00+00:00,59,18,296,33
2023-12-06 00:00:00+00:00,5,5,174,23
2023-12-07 00:00:00+00:00,23,8,185,20
2023-12-08 00:00:00+00:00,10,6,80,26
2023-12-09 00:00:00+00:00,5,4,67,16
2023-12-10 00:00:00+00:00,37,13,177,11
2023-12-11 00:00:00+00:00,19,10,279,32
2023-12-12 00:00:00+00:00,34,15,592,24
